address,subject_city_province_zip,effective_date,municipality_district,site_dimensions,lot_size_sf,units_sq_ft,year_built,structure_type,roofing,effective_age,style,construction,remaining_economic_life,windows,basement,exterior_finish,basement_area,foundation_walls,flooring,plumbing_lines,heating,fuel_type,water_heater,cooling,room_count,num_beds,room_total,main_lvl_area,second_lvl_area,third_lvl_area,gla,subject_age,num_baths,condition,orderID,appraisal_index,property_role,is_appraiser_selected,distance_to_subject,prop_type,stories,city_province,sale_date,sale_price,dom,location_similarity,lot_size,age,bed_count,bath_count,basement_finish,parking,neighborhood,comp_index,id,bedrooms,city,province,postal_code,property_sub_type,levels,full_baths,half_baths,main_level_finished_area,upper_lvl_fin_area,bg_fin_area,roof,close_price,close_date,public_remarks,latitude,longitude,property_index,property_id,year_built_age,sale_price_per_sqft,upper_lvl_fin_area_log
842,0,5,55,56,1453,1,79,126,1,8,16,5,9,4,99,4,31,0,7,3,238,4,0,74,26,3,-3.148148148148146,40,-9.898124559164973,,62,56,1,0,4762597,0,subject,False,1,1,3,147,54,67,37,1,207,125,6,7,12,25,0,,0.4035259386564289,-0.10000000000000009,10,0,518,7,22,-0.3333333333333333,-3.0000000000000004,-0.9022403258655806,0.19695106958446004,,7,-0.2799664966115891,182,450,0.4531189468596532,-0.35254386223765444,,0,1.2727272727272727,,
5132,50,17,55,62,1453,1,132,32,1,5,27,4,16,4,65,5,0,0,6,3,239,4,8,75,26,3,0.0,40,0.0,,63,67,7,6,4762597,0,selected_comparable,True,14,7,3,163,126,61,74,1,212,137,6,7,12,38,0,0.0,-0.09034628581193754,-0.04244842956359496,10,0,518,7,22,0.04273504273504259,-0.9315107102593014,0.12526074074512003,0.4509112171414118,,7,0.20189327045506247,182,450,0.30414033475277125,-0.31881383241633954,,1,0.30543285866913306,,
4661,50,17,55,62,1453,1,132,32,1,5,27,4,16,4,65,5,0,0,6,3,239,4,8,75,26,3,0.0,40,0.0,,63,67,7,4,4762597,0,selected_comparable,True,3,7,3,166,40,51,95,0,212,137,6,0,12,38,0,1.0,-0.09034628581193754,-0.04244842956359496,10,0,518,7,22,0.04273504273504259,-0.9315107102593014,0.12526074074512003,0.4509112171414118,,7,0.20189327045506247,182,450,0.30414033475277125,-0.31881383241633954,,2,0.30543285866913306,,
5241,50,17,55,62,1453,1,132,32,1,5,27,4,16,4,65,5,0,0,6,3,239,4,8,75,26,3,0.0,40,0.0,,63,67,7,4,4762597,0,selected_comparable,True,9,7,3,165,48,48,141,0,212,137,6,7,14,38,0,2.0,-0.09034628581193754,-0.04244842956359496,10,0,518,7,22,0.04273504273504259,-0.9315107102593014,0.12526074074512003,0.4509112171414118,,7,0.20189327045506247,182,450,0.30414033475277125,-0.31881383241633954,,3,0.30543285866913306,,
3557,50,17,55,62,952,1,132,32,1,5,77,4,16,4,199,5,0,0,6,3,238,4,8,74,3,3,0.0,40,0.0,,570,67,7,0,4762597,0,potential_comparable,False,1,1,3,147,54,67,37,1,207,125,6,7,12,25,0,,-1.1492619644911366,0.0,38,3,1395,7,118,0.8333333333333335,-2.0000000000000004,0.5247793618465717,0.6513400540939266,,7,0.24061524404172696,80,6136,-0.1788833258927747,0.10094659151641491,0.0,4,-0.41818181818181815,,
3558,50,17,55,62,942,1,132,38,1,5,27,4,16,4,200,5,0,0,6,3,239,4,8,75,3,3,0.0,40,0.0,,852,67,7,0,4762597,0,potential_comparable,False,1,1,3,147,54,67,37,1,207,125,6,7,12,25,0,,-0.24518024698202381,0.0,39,3,1395,7,22,-0.5000000000000002,-1.0,0.016293279022403104,0.5126628964838947,,7,0.24061524404172696,80,6137,-0.1788833258927747,0.10094659151641491,1.0,5,0.3181818181818182,,
2729,50,17,55,62,572,1,132,63,1,5,26,4,16,4,24,5,0,0,6,3,238,4,8,74,3,3,0.0,40,0.0,,570,67,7,0,4762597,0,potential_comparable,False,1,1,3,147,54,67,37,1,207,125,6,7,12,25,0,,-1.1492009812753807,0.0,38,3,1401,16,118,1.666666666666667,0.0,-0.38357094365241,0.14089009097614938,,7,-0.0304576258280667,81,1153,-0.17450016049469277,0.1009387223801511,2.0,6,0.8999999999999999,,
2730,50,17,55,62,572,1,132,65,1,5,27,4,16,4,33,5,0,0,6,3,239,4,8,75,3,3,0.0,40,0.0,,347,67,7,0,4762597,0,potential_comparable,False,1,1,3,147,54,67,37,1,207,125,6,7,12,25,0,,-0.43045834430569224,0.0,39,3,1401,16,22,-0.3333333333333333,-2.0000000000000004,-0.5458248472505094,-0.1305630686009344,,7,-0.0304576258280667,81,1153,-0.17450016049469277,0.1009387223801511,3.0,7,1.0,,
3283,50,17,55,62,245,1,132,95,1,5,26,4,16,4,126,5,0,0,6,3,1,4,8,75,6,3,0.0,40,0.0,,347,67,7,0,4762597,0,potential_comparable,False,1,1,3,147,54,67,37,1,207,125,6,7,12,25,0,,-1.135873376668376,0.5,38,3,1341,32,22,1.666666666666667,-5.000000000000001,0.21724372029871009,0.6705188099336118,,7,0.2741186324526003,82,1220,-0.17767315901519043,0.10041935938673156,4.0,8,0.06363636363636357,,
4693,50,17,55,62,1834,1,132,32,1,5,141,4,16,4,31,5,0,0,6,3,238,4,8,75,28,3,0.0,40,0.0,,347,67,7,0,4762597,0,potential_comparable,False,1,1,3,147,54,67,37,1,207,125,6,7,12,25,0,,-1.135867832739671,0.0,38,3,1356,7,118,0.0,0.0,-0.5865580448065175,-0.4251290877796904,,7,-0.30457625828066703,82,4725,-0.17646299213760513,0.10056887297574638,5.0,9,0.609090909090909,,
